label,english,german_hand_translated,german_google_translate,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_text_blob,vader_positive,vader_neutral,vader_negative,vader_compound
0,He gave a self-deprecating shrug.,Er zuckte selbstironisch mit den Achseln,Er gab einen selbstironischen Achselzucken.,2.657833333333333,0.15265971883045373,-0.10822051271019402,0.4019291098271714,0.24346535313980724,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,He is so much more than a comedian.,Er ist so viel mehr als ein Komiker,Er ist so viel mehr als ein Komiker.,3.489,0.4783774686445783,0.16021881294783905,0.25989793001623024,0.13040888694613112,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,We were pelted with rotten tomatoes.,Wir wurden mit faulen Tomaten beworfen,Wir waren mit faulen Tomaten ausgestoßen.,2.8211666666666666,0.1931323834120728,-0.008094454442535976,0.3355164187074774,0.029268169122436582,-0.005833333333333334,0.0,0.0,0.0,0.667,0.333,-0.3612
0,Mind you don't tread in that puddle.,"Pass auf, dass du nicht in diese Pfütze steigst","Denken Sie daran, Sie treten nicht in dieser Pfütze.",1.787111111111111,0.22228737393964101,-0.19077834987216746,0.2360928838673798,-0.010698323643344223,0.00044444444444444447,0.0,0.0,0.2,0.8,0.0,0.25
0,We've branded our cattle.,Wir haben unsere Rinder gebrandmarkt,Wir haben unser Vieh gebrandmarkt.,1.4888000000000001,0.23110670907652475,-0.008829737629286493,0.3707860715793821,0.24510336580644246,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,She has an earthy sense of humour.,Sie hat einen derben Humor,Sie hat einen erdigen Sinn für Humor.,1.8442,0.33659271861626433,0.07171912580505453,0.29948089316005766,0.1260711271630374,0.0,0.0,0.0,0.452,0.548,0.0,0.5106
0,She just goes to pieces in exams.,Während einer Prüfung bricht sie zusammen,Sie geht nur in Prüfungen in Stücke.,2.6486666666666667,0.4290482829260495,0.20495832721422944,0.252122164672365,0.1815623533982975,-0.13318333333333335,0.0,0.0,0.0,0.714,0.286,-0.25
0,She bit the thread in two.,Sie hat den Faden durchgebissen,Sie biss den Faden in zwei Teile.,1.9024,0.15833266266183618,-0.33395661874990534,0.22689193772109942,0.14524540682834114,-0.0009599999999999999,0.0,0.0,0.0,0.645,0.355,-0.296
0,My new hat was squished under his hips.,Mein neuer Hut wurde unter seiner Hüfte zusammengedrückt ,Mein neuer Hut wurde unter seine Hüften gequetscht.,2.5704444444444445,0.2963659147525466,0.015817379949620024,0.19749978746264632,0.004764031487404562,0.00044444444444444447,0.0,0.0,0.293,0.707,0.0,0.4404
0,He is punctual to a proverb.,Er ist bekannt für seine Pünktlichkeit,Er ist pünktlich zu einem Sprichwort.,3.7583333333333333,0.4020774933899239,0.04089634967617415,0.2887677290694307,0.13495789476235828,0.0,0.0,0.0,0.529,0.471,0.0,0.5423
0,She's merely a child.,Sie ist nur ein Kind,Sie ist nur ein Kind.,3.2769999999999997,0.5313968833685515,0.38958263718365554,0.24292624786975384,0.10491169671897879,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,Sophie is a glutton for books.,Sophie ist ein Nimmersatt wenn es um Bücher geht,Sophie ist eine Vielfraß für Bücher.,2.6302222222222222,0.3522009154528105,-0.05138873584561682,0.27026377808446106,0.04944649763050837,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,How can you watch that drivel on TV?,Wie kannst du dir dieses Geschwätz im Fernsehen ansehen?,Wie können Sie diesen Trottel im Fernsehen sehen?,1.700222222222222,0.2761124209250208,-0.07387003444715429,0.23083493776245098,0.04489543780572446,0.0,0.0,0.0,0.0,1.0,0.0,0.0
