label,english,german,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound
0,I did overpower him the way he flattered.,"Ich habe ihn so überwältigt, wie er geschmeichelt hat.",2.0293333333333337,0.4524682174650936,0.04848225152942517,0.3582924854273256,0.13546114741639126,0.0,1.0,0.9314085245132446,0.272,0.728,0.0,0.4572
1,"All in all, the eatery is a breakfast bargain, with enough different components to keep boredom at bay.","Insgesamt ist das Restaurant ein Frühstücks -Schnäppchen mit genügend unterschiedlichen Komponenten, um Langeweile in Schach zu halten.",2.591352941176471,0.2878032422941227,-0.10661955075693534,0.21525693318695518,0.07117327334097594,0.0,0.7,0.92670738697052,0.242,0.651,0.107,0.4404
0,He gave a self-deprecating shrug.,Er gab einen selbstironischen Achselzucken.,1.8066,0.5898090170803387,0.5742872774790383,0.2711376386626442,0.22638437923375365,0.0,0.0,0.9302656054496765,0.0,1.0,0.0,0.0
1,It is a long time now since I knew that acute moment of bliss that comes from putting parched lips to a cup of cold water.,"Es ist jetzt lange, dass ich diesen akuten Moment der Glückseligkeit wusste, der aus der Tasse kaltem Wasser entsteht.",2.4764736842105264,0.3287133752239396,0.031138553272523628,0.27126188036236426,-0.027410780975089633,-0.0006315789473684211,-0.7,0.9210413694381714,0.166,0.742,0.092,0.4019
0,Girls thread a needle under the moon to pray the weaver maid to endow them craftsmanship.,"Mädchen fädeln eine Nadel unter dem Mond ein, um die Weaver Maid zu beten, um ihnen Handwerkskunst zu bestimmen.",3.013631578947368,0.2621452520732555,-0.18614897141208742,0.27262802834149247,-0.0009472183009409441,0.0,1.0,0.11385756731033325,0.0,1.0,0.0,0.0
0,"Today, 15 years later, I know why my attempt at consoling my friend was so ham-fisted .","Heute, 15 Jahre später, weiß ich, warum mein Versuch, meinen Freund zu trösten, so faustgeschrieben war.",0.8612500000000001,0.42061737649696296,0.235203235735125,0.3231958351997439,0.10921649863408726,0.0,1.0,0.9319469332695007,0.303,0.697,0.0,0.7269
0,"I suppose you'd rather be in Chicago, eating waffles and hamburgers, or suchlike?","Ich nehme an, Sie wären lieber in Chicago, essen Waffeln und Hamburger oder dergleichen?",1.2549285714285716,0.26993422918566934,-0.12598348202410323,0.2831682341771263,-0.09972178380525018,0.00807857142857143,1.0,0.872130274772644,0.188,0.812,0.0,0.4588
0,"He's heard, he says, that Speedo Man is a church choir director!","Er hat gehört, sagt er, dass Speedo Man ein Kirchenchorleiter ist!",0.8846363636363637,0.38385716318613244,-0.1487458375693916,0.32367461561700034,0.15320879727898798,0.0,0.0,0.7952356934547424,0.0,1.0,0.0,0.0
0,A hot college hoop dreamer played by Kadeem Hardison dies just as his team is on the edge of an NCAA championship.,"Ein heißer College -Hoop -Träumer, der von Kadeem Hardison gespielt wird, stirbt genau wie sein Team am Rande einer NCAA -Meisterschaft.",2.024952380952381,0.2189434261888442,-0.2874990233539894,0.21062134500119528,-0.019073518392346802,0.016938095238095238,-0.15000000000000002,0.9398563504219055,0.212,0.788,0.0,0.6249
0,He is so much more than a comedian.,Er ist so viel mehr als ein Komiker.,2.686125,0.5725090425381617,0.4283200996530792,0.27537711942229065,0.13040888694613112,0.0,0.0,0.9283452033996582,0.0,1.0,0.0,0.0
