speaker,sentence,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound
Johannes Schmuckenschlager,Geschätzter Herr Präsident!,3.073,0.11037380903233744,0.11037380903233744,0.0,0.0,0.0013333333333333333,1.0,0.901906430721283,0.427,0.573,0.0,0.126
Johannes Schmuckenschlager,Sehr geehrte Damen und Herren des Hohen Hauses!,0.40225,0.2925891747004104,0.03378523020208086,0.23771138339202713,0.0243094412114112,0.0005,0.0,0.8458265066146851,0.27,0.73,0.0,0.3802
Johannes Schmuckenschlager,"Wir dürfen heute die erste Lesung zum Volksbegehren Klimavolksbegehren halten, und ich glaube, das ist ein wesentliches Thema: Klimaschutz und die Frage der Zukunft unserer Gesellschaft.Wenn wir die zahlreichen Unterschriften, die dieses Volksbegehren letztendlich bekommen hat, sehen, dann müssen wir schon eine Begrifflichkeit dahinter stellen, und die heißt: Eine Unterschrift ist nicht nur eine Verpflichtung, die man persönlich eingeht, wenn man unterschreibt, diese Verpflichtung ist vor allem auch keine Entpflichtung, das heißt, all diese Menschen, die sich dazu positiv ausgedrückt haben, wollen auch etwas zum Ausdruck bringen.",1.9260344827586209,0.4229928096261923,-0.0375402250398091,0.27101192323827145,-0.10699140030569748,0.0,0.85,0.8358598947525024,0.083,0.917,0.0,0.765
Johannes Schmuckenschlager,"Klimaschutz lässt sich nicht delegieren  nicht auf andere Länder, nicht auf andere Gesellschaftsgruppen und auch nicht auf andere innerhalb der Gesellschaft, das heißt, jeder muss letztendlich für sich seinen Beitrag leisten und tätig werden.Diese Unterschriften sind nicht nur Verpflichtung, sie entpflichten uns als Politik auch nicht, das Thema sozusagen an die Gesellschaft abzugeben, sondern sie verpflichten uns, als Politik auch tätig zu werden  und wir werden tätig.",1.8099855072463766,0.4490650524583717,-0.0813543352329598,0.26989759635429034,-0.04476940355434208,0.0,1.0,0.7906875014305115,0.082,0.918,0.0,0.5719
Johannes Schmuckenschlager,"Wir haben ja in den vergangenen Stunden und auch gestern in der Budgetdebatte schon erlebt, welchen Stellenwert Klimaschutz in der neuen Regierung hat und wie das Budget dazu entsprechend ausgestattet wurde.",2.6629677419354842,0.39568892045653353,0.020592904798419118,0.24656169816518947,-0.02688036197650337,0.00012903225806451613,0.0,0.7296568155288696,0.088,0.912,0.0,0.4404
Johannes Schmuckenschlager,"Ich denke, es ist ein ganz wichtiger Aspekt, dass Bundesministerin Gewessler mit der Klimamilliarde entsprechend ausgestattet ist, sodass wir auch tätig werden können.Die ersten Schritte dieser verantwortungsvollen Verpflichtung der Politik sind mit dem Erneuerbaren-Ausbau-Gesetz gemacht worden, und ich möchte davon nur ein Beispiel herausgreifen, nämlich das Gas: Beim Gas haben wir eine Verpflichtung, rund 20 Prozent des CO2-Energieausstoßes in Österreich wird durch Gas verursacht.",2.0670781250000005,0.4354350918736268,0.06770246801521353,0.21540008004330935,-0.09972178380525018,0.011425,0.85,0.8275750875473022,0.15,0.85,0.0,0.8625
Johannes Schmuckenschlager,"Bei 90 Prozent des Gases besteht eine Importabhängigkeit, und das ist außenpolitisch momentan ein starkes Thema; einerseits Nord Stream 2, die Auseinandersetzung mit Russland, andererseits die Auseinandersetzung mit der Türkei in der Ägäis.",2.5530000000000004,0.35848298906461884,-0.06318521416962389,0.24700241192337236,-0.036522227057404856,0.00024242424242424242,0.0,0.8531336188316345,0.136,0.742,0.123,0.128
Johannes Schmuckenschlager,"Das heißt, Gas ist ein Riesenthema.",2.6506666666666665,0.41838609017149375,0.20387919270733845,0.24777521292748228,0.13491842184162037,0.0,0.0,0.9315851926803589,0.0,1.0,0.0,0.0
Johannes Schmuckenschlager,"Wir haben den großen Schatz, Biogas, grünes Gas in Österreich erzeugen zu können.",2.070230769230769,0.3384835208682739,0.12613942972406372,0.21466034772737458,0.025557940883513087,0.028415384615384617,0.7,0.9193003177642822,0.448,0.552,0.0,0.7964
Johannes Schmuckenschlager,"Zum heutigen Zeitpunkt könnten wir aus unseren Rohstoffreserven, aus heimischen Lebensmitteln und letztendlich auch Biomasse und Biogasrohstoffen, bereits 50 Prozent dieses Gasverbrauchs abdecken.Das heißt, wir müssen auch im Erneuerbaren-Ausbau-Gesetz dem Biogasthema die entsprechende Priorität zuordnen.",1.5161428571428572,0.37948794189651197,0.06771727314424607,0.25383381979653574,-0.009667599430065371,0.0,0.0,0.6769717335700989,0.0,1.0,0.0,0.0
